"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-22","72","54"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-23","71","49"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-24","72","48"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-25","76","51"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-26","70","43"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-27","70","43"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-28","67","46"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-29","70","52"
"USC00365817","MILLVILLE 2 SW, PA US","1960-09-30","61","58"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-01","73","40"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-02","58","33"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-03","60","33"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-04","64","37"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-05","60","35"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-06","65","35"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-07","67","37"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-08","63","34"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-09","64","33"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-10","70","38"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-11","71","43"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-12","73","45"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-13","66","35"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-14","69","39"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-15","73","45"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-16","75","50"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-17","70","43"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-18","67","42"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-19","63","39"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-20","60","44"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-21","51","33"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-22","50","30"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-23","55","30"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-24","50","36"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-25","41","31"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-26","51","28"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-27","51","29"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-28","52","34"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-29","61","40"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-30","59","34"
"USC00365817","MILLVILLE 2 SW, PA US","1960-10-31","65","34"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-01","54","40"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-02","60","33"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-03","55","36"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-04","46","37"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-05","55","38"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-06","45","30"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-07","40","26"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-08","38","17"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-09","45","17"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-10","45","27"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-11","51","30"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-12","46","21"
"USC00365817","MILLVILLE 2 SW, PA US","1960-11-13","47","21"
