,STATION,NAME,DATE,TMAX,TMIN
0,USC00360457,"BEAR GAP, PA US",2008-09-22,68.0,51.0
1,USC00360457,"BEAR GAP, PA US",2008-09-23,72.0,43.0
2,USC00360457,"BEAR GAP, PA US",2008-09-24,75.0,43.0
3,USC00360457,"BEAR GAP, PA US",2008-09-25,67.0,44.0
4,USC00360457,"BEAR GAP, PA US",2008-09-26,64.0,50.0
5,USC00360457,"BEAR GAP, PA US",2008-09-27,71.0,60.0
6,USC00360457,"BEAR GAP, PA US",2008-09-28,67.0,62.0
7,USC00360457,"BEAR GAP, PA US",2008-09-29,64.0,50.0
8,USC00360457,"BEAR GAP, PA US",2008-09-30,68.0,46.0
9,USC00360457,"BEAR GAP, PA US",2008-10-01,61.0,48.0
10,USC00360457,"BEAR GAP, PA US",2008-10-02,59.0,44.0
11,USC00360457,"BEAR GAP, PA US",2008-10-03,59.0,41.0
12,USC00360457,"BEAR GAP, PA US",2009-09-22,71.0,58.0
13,USC00360457,"BEAR GAP, PA US",2009-09-23,80.0,63.0
14,USC00360457,"BEAR GAP, PA US",2009-09-24,74.0,61.0
15,USC00360457,"BEAR GAP, PA US",2009-09-25,69.0,48.0
16,USC00360457,"BEAR GAP, PA US",2009-09-26,60.0,48.0
17,USC00360457,"BEAR GAP, PA US",2009-09-27,64.0,48.0
18,USC00360457,"BEAR GAP, PA US",2009-09-28,68.0,51.0
19,USC00360457,"BEAR GAP, PA US",2009-09-29,58.0,47.0
20,USC00360457,"BEAR GAP, PA US",2009-09-30,54.0,46.0
21,USC00360457,"BEAR GAP, PA US",2009-10-01,51.0,41.0
22,USC00360457,"BEAR GAP, PA US",2009-10-02,61.0,37.0
23,USC00360457,"BEAR GAP, PA US",2009-10-03,71.0,48.0
24,USC00360457,"BEAR GAP, PA US",2010-09-22,87.0,56.0
25,USC00360457,"BEAR GAP, PA US",2010-09-23,79.0,59.0
26,USC00360457,"BEAR GAP, PA US",2010-09-24,89.0,64.0
27,USC00360457,"BEAR GAP, PA US",2010-09-25,79.0,64.0
28,USC00360457,"BEAR GAP, PA US",2010-09-26,67.0,50.0
29,USC00360457,"BEAR GAP, PA US",2010-09-27,70.0,55.0
30,USC00360457,"BEAR GAP, PA US",2010-09-28,77.0,63.0
31,USC00360457,"BEAR GAP, PA US",2010-09-29,67.0,50.0
32,USC00360457,"BEAR GAP, PA US",2010-09-30,74.0,55.0
33,USC00360457,"BEAR GAP, PA US",2010-10-01,65.0,53.0
34,USC00360457,"BEAR GAP, PA US",2010-10-02,62.0,41.0
35,USC00360457,"BEAR GAP, PA US",2010-10-03,63.0,38.0
36,USC00360457,"BEAR GAP, PA US",2011-09-22,76.0,65.0
37,USC00360457,"BEAR GAP, PA US",2011-09-23,71.0,61.0
