,STATION,NAME,DATE,TMAX,TMIN
0,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-22,72.0,54.0
1,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-23,71.0,49.0
2,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-24,72.0,48.0
3,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-25,76.0,51.0
4,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-26,70.0,43.0
5,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-27,70.0,43.0
6,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-28,67.0,46.0
7,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-29,70.0,52.0
8,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-30,61.0,58.0
9,USC00365817,"MILLVILLE 2 SW, PA US",1960-10-01,73.0,40.0
10,USC00365817,"MILLVILLE 2 SW, PA US",1960-10-02,58.0,33.0
11,USC00365817,"MILLVILLE 2 SW, PA US",1960-10-03,60.0,33.0
365,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-22,81.0,61.0
366,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-23,85.0,60.0
367,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-24,86.0,59.0
368,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-25,89.0,60.0
369,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-26,87.0,58.0
370,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-27,67.0,42.0
371,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-28,71.0,42.0
372,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-29,68.0,35.0
373,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-30,64.0,32.0
374,USC00365817,"MILLVILLE 2 SW, PA US",1961-10-01,72.0,33.0
375,USC00365817,"MILLVILLE 2 SW, PA US",1961-10-02,71.0,48.0
376,USC00365817,"MILLVILLE 2 SW, PA US",1961-10-03,73.0,50.0
730,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-22,60.0,33.0
731,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-23,59.0,35.0
732,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-24,66.0,38.0
733,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-25,66.0,37.0
734,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-26,57.0,40.0
735,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-27,64.0,48.0
736,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-28,58.0,49.0
737,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-29,59.0,48.0
738,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-30,55.0,36.0
739,USC00365817,"MILLVILLE 2 SW, PA US",1962-10-01,65.0,35.0
740,USC00365817,"MILLVILLE 2 SW, PA US",1962-10-02,68.0,36.0
741,USC00365817,"MILLVILLE 2 SW, PA US",1962-10-03,75.0,39.0
1095,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-22,61.0,35.0
1096,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-23,60.0,34.0
1097,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-24,57.0,27.0
1098,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-25,63.0,27.0
1099,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-26,68.0,27.0
1100,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-27,74.0,34.0
1101,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-28,81.0,45.0
1102,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-29,75.0,51.0
1103,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-30,68.0,39.0
1104,USC00365817,"MILLVILLE 2 SW, PA US",1963-10-01,63.0,37.0
1105,USC00365817,"MILLVILLE 2 SW, PA US",1963-10-02,71.0,38.0
1106,USC00365817,"MILLVILLE 2 SW, PA US",1963-10-03,75.0,40.0
1461,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-22,77.0,43.0
1462,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-23,81.0,42.0
1463,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-24,84.0,48.0
1464,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-25,73.0,49.0
1465,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-26,64.0,35.0
1466,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-27,77.0,38.0
1467,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-28,77.0,45.0
1468,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-29,53.0,44.0
1469,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-30,54.0,46.0
1470,USC00365817,"MILLVILLE 2 SW, PA US",1964-10-01,66.0,37.0
1471,USC00365817,"MILLVILLE 2 SW, PA US",1964-10-02,70.0,38.0
1472,USC00365817,"MILLVILLE 2 SW, PA US",1964-10-03,59.0,46.0
1826,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-22,87.0,63.0
1827,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-23,87.0,63.0
1828,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-24,84.0,62.0
1829,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-25,63.0,47.0
1830,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-26,62.0,36.0
1831,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-27,67.0,38.0
1832,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-28,57.0,32.0
1833,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-29,64.0,32.0
1834,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-30,68.0,49.0
1835,USC00365817,"MILLVILLE 2 SW, PA US",1965-10-01,65.0,53.0
1836,USC00365817,"MILLVILLE 2 SW, PA US",1965-10-02,69.0,49.0
1837,USC00365817,"MILLVILLE 2 SW, PA US",1965-10-03,65.0,38.0
2191,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-22,59.0,50.0
2192,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-23,60.0,44.0
2193,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-24,62.0,40.0
2194,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-25,61.0,40.0
2195,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-26,62.0,34.0
2196,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-27,62.0,32.0
2197,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-28,56.0,39.0
2198,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-29,56.0,47.0
2199,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-30,56.0,48.0
2200,USC00365817,"MILLVILLE 2 SW, PA US",1966-10-01,61.0,42.0
2201,USC00365817,"MILLVILLE 2 SW, PA US",1966-10-02,46.0,35.0
2202,USC00365817,"MILLVILLE 2 SW, PA US",1966-10-03,60.0,32.0
2556,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-22,72.0,53.0
2557,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-23,63.0,37.0
2558,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-24,61.0,36.0
2559,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-25,60.0,35.0
2560,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-26,63.0,36.0
2561,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-27,72.0,38.0
2562,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-28,76.0,46.0
2563,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-29,71.0,59.0
2564,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-30,68.0,42.0
2565,USC00365817,"MILLVILLE 2 SW, PA US",1967-10-01,56.0,41.0
2566,USC00365817,"MILLVILLE 2 SW, PA US",1967-10-02,61.0,34.0
2567,USC00365817,"MILLVILLE 2 SW, PA US",1967-10-03,70.0,34.0
2922,USC00365817,"MILLVILLE 2 SW, PA US",1968-09-22,81.0,49.0
2923,USC00365817,"MILLVILLE 2 SW, PA US",1968-09-23,82.0,52.0
