,titles,similar
0,#Horror,"['Amnesiac', 'Boogeyman', 'Goddess of Love', 'The Curse of Downers Grove', 'The Midnight Meat Train', 'The Skeleton Key', 'What Lies Beneath']"
2,(500) Days of Summer,['Summer Catch']
3,...E tu vivrai nel terrore! L'aldilà,"[""The Brain That Wouldn't Die"", 'The Midnight Meat Train', 'Thir13en Ghosts']"
6,10 Cloverfield Lane,"['Breakdown', 'Frequency', 'Room', 'Southland Tales', 'World War Z']"
8,10 Things I Hate About You,['High School Musical 3: Senior Year']
9,102 Dalmatians,"['Aladdin', 'Batman', 'The Curse of the Were-Rabbit', 'The Shaggy Dog']"
10,10th & Wolf,"['Donnie Brasco', 'Enemy of the State', 'Run All Night', 'The Departed']"
11,11:14,"['Albino Alligator', 'Blood and Wine', ""Brooklyn's Finest"", 'Buffalo Soldiers', 'Dancer in the Dark', 'Secret Window', 'The Negotiator', 'Trash', 'Veronica Guerin']"
12,12 Angry Men,"['A Time to Kill', 'Dead Man Walking', 'The Rainmaker']"
13,12 Rounds,"['Dark Blue', 'The Negotiator', 'The Pacifier', 'Trash']"
15,127 Hours,"['Executive Decision', 'Frequency', 'In the Heart of the Sea', 'Nancy Drew', 'The Great Escape', 'The Revenant', 'Trash']"
16,13 Going on 30,['Aladdin']
17,13 Hours: The Secret Soldiers of Benghazi,['Airlift']
18,1408,['The Rage: Carrie 2']
19,15 Minutes,"[""Brooklyn's Finest""]"
20,16 Blocks,"['Assassins', 'Trash']"
23,1776,"['Across the Universe', 'Aladdin', 'American Dreamz', 'Bandslam', 'Hannah Montana: The Movie', 'High School Musical', 'High School Musical 2', 'High School Musical 3: Senior Year', 'La Famille Bélier', 'The Last Five Years', 'The Magic Flute', 'Woodstock']"
24,1941,"['Batman', 'Beverly Hills Cop', 'Blazing Saddles']"
27,2 Fast 2 Furious,['The Fast and the Furious']
28,2 Guns,"['Bad Boys II', 'Bandidas', 'Batman', 'Batman Begins', 'Beverly Hills Cop', 'Beverly Hills Cop III', 'Con Air', 'Dom Hemingway', 'Fast Five', 'High Heels and Low Lifes', 'Point Break', 'The Blues Brothers']"
29,2:13,"['Book of Shadows: Blair Witch 2', 'Case 39', 'Devil', 'Dressed to Kill', 'Dylan Dog: Dead of Night', 'Friday the 13th Part VI: Jason Lives', 'Haute tension', 'Hide and Seek', 'Housebound', 'I Still Know What You Did Last Summer', 'L.A. Confidential', 'Mirrors', 'Orphan', 'Pandorum', 'Regression', 'Secret Window', 'Shutter', 'Silent Hill: Revelation 3D', 'Sinister', 'Stir of Echoes', 'Sur le seuil', 'The Grudge', 'The Last Days on Mars', 'The Ninth Gate', 'The Relic', 'The Stepfather', 'The Unborn', 'Trash', 'Truth or Dare']"
32,"20,000 Leagues Under the Sea",['The Abyss']
33,200 Cigarettes,['Enough Said']
34,2001: A Space Odyssey,"['Interstellar', 'The Matrix Revolutions', 'Transcendence']"
35,2012,['Southland Tales']
37,2046,"['Iris', 'Kate & Leopold', 'The Bridges of Madison County', 'The Piano']"
38,21,"['25th Hour', ""Brooklyn's Finest"", 'Dancer in the Dark']"
40,21 Grams,['Trash']
41,21 Jump Street,['22 Jump Street']
42,22 Jump Street,['21 Jump Street']
43,24 7: Twenty Four Seven,['Summer Catch']
44,25th Hour,"['21', 'American Gangster', 'Dancer in the Dark', 'Jindabyne', 'Out of the Furnace', 'Prison', 'Trainspotting']"
45,27 Dresses,"['Bachelorette', 'Four Weddings and a Funeral', 'The Guru']"
47,28 Days Later,"['28 Weeks Later', 'The Last Days on Mars']"
48,28 Weeks Later,['Battle: Los Angeles']
50,3 Days to Kill,['Hackers']
51,3 Ninjas Kick Back,['Batman Begins']
52,3 Strikes,"['Aladdin', 'Batman']"
53,3:10 to Yuma,['Deadfall']
55,30 Minutes or Less,"['Aladdin', 'Batman', 'The Adventures of Rocky & Bullwinkle']"
57,300,"['Batman', 'Rambo: First Blood Part II']"
58,300: Rise of an Empire,['Jackass 3D']
59,3000 Miles to Graceland,['Batman']
